id,start,destination,difficulty,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens
Aluminium_chloride_Parrot_0,Aluminium_chloride,Parrot,Medium,"[""Aluminium chloride"", ""Aluminium"", ""Chemistry"", ""Science"", ""Biology"", ""Organisms"", ""Animals"", ""Birds"", ""Parrot""]",303,608,"[""Aluminium_chloride"", ""Chlorine"", ""Human""]",5784,5783,"[""Aluminium_chloride"", ""Ytterbium""]",14059,6108,"[""Aluminium_chloride"", ""Ethanol"", ""Brazil"", ""Amazon_Rainforest"", ""Bird"", ""Parrot""]",19678,21139
Batman_Bible_0,Batman,Bible,Medium,"[""Batman"", ""Religion in comics"", ""Religion"", ""Christianity"", ""Bible""]",298,1101,"[""Batman"", ""Chemistry"", ""Alchemy"", ""Christianity"", ""Bible""]",2398,1657,"[""Batman"", ""Crime"", ""Religion"", ""Christianity"", ""Bible""]",5644,1612,"[""Batman"", ""Superman"", ""Judaism"", ""Bible""]",5685,3532
England_God_0,England,God,Medium,"[""England"", ""Christianity"", ""God""]",298,244,"[""England"", ""Christianity"", ""Jesus"", ""God""]",2618,1408,"[""England"", ""Hinduism"", ""God""]",3927,799,"[""England"", ""Christianity"", ""Jesus"", ""God""]",4777,2870
Art_Mango_0,Art,Mango,Medium,"[""Art"", ""Art history"", ""Italian Renaissance"", ""Italian cuisine"", ""Cuisine"", ""Food"", ""Fruit"", ""Mangifera indica"", ""Mango""]",299,1332,"[""Art"", ""Color"", ""Fruit"", ""Mango""]",1656,1817,"[""Art"", ""Color"", ""Fruit"", ""Mango""]",4793,1603,"[""Art"", ""Painting"", ""India"", ""Mango""]",6957,6922
14th_century_Rainbow_0,14th_century,Rainbow,Medium,"[""14th_century"", ""Middle Ages"", ""Science in the Middle Ages"", ""Optics"", ""Rainbow""]",301,991,,0,0,,0,0,,0,0
Electricity_God_0,Electricity,God,Medium,"[""Electricity"", ""Physics"", ""Philosophy of physics"", ""Philosophy"", ""Philosophy of religion"", ""God""]",299,1044,"[""Electricity"", ""Ancient_Greece"", ""Athena"", ""Greek_mythology"", ""Deity"", ""God""]",2849,2070,"[""Electricity"", ""Matter"", ""Magnet"", ""Earth"", ""Deity"", ""God""]",7345,2516,"[""Electricity"", ""Mesopotamia"", ""Religion"", ""God""]",6358,4007
Archbishop_of_Canterbury_Vietnam_0,Archbishop_of_Canterbury,Vietnam,Medium,"[""Archbishop_of_Canterbury"", ""Canterbury"", ""England"", ""Europe"", ""Asia"", ""Vietnam""]",303,974,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Christianity"", ""Roman_Empire"", ""United_States"", ""Vietnam""]",4477,4216,"[""Archbishop_of_Canterbury"", ""England"", ""France"", ""Thailand"", ""Cambodia"", ""Vietnam""]",8989,4172,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",4173,4791
Batman_Vitamin_D_0,Batman,Vitamin_D,Medium,,0,0,"[""Batman"", ""Chemistry"", ""Medicine"", ""Biology"", ""Human"", ""Ultraviolet"", ""Sunlight"", ""Vitamin_D""]",4081,3022,"[""Batman"", ""Spring_Heeled_Jack"", ""Nature"", ""Ultraviolet"", ""Sun"", ""Vitamin_D""]",7290,3403,"[""Batman"", ""Superman"", ""Sun"", ""Sunlight"", ""Vitamin_D""]",14839,11132
China_Moon_0,China,Moon,Medium,"[""China"", ""People's Republic of China"", ""China National Space Administration"", ""Chinese lunar exploration program"", ""Moon""]",298,880,"[""China"", ""People's_Republic_of_China"", ""Shenzhou_6"", ""Shenzhou_spacecraft"", ""International_Space_Station"", ""Earth"", ""Moon""]",3951,3237,"[""China"", ""Beijing"", ""Great_Wall_of_China"", ""Apollo_11"", ""Moon""]",6704,2282,"[""China"", ""Great_Wall_of_China"", ""Moon""]",2655,2760
Achilles_tendon_Ivory_0,Achilles_tendon,Ivory,Medium,,0,0,"[""Achilles_tendon"", ""Latin"", ""United_States"", ""C\u00f4te_d'Ivoire""]",5048,6226,"[""Achilles_tendon"", ""Latin"", ""Vulgar_Latin""]",17042,5999,,0,0
Pyramid_Bean_0,Pyramid,Bean,Hard,,0,0,"[""Pyramid"", ""Egyptian_pyramids"", ""Ancient_Egypt"", ""Agriculture"", ""Soybean"", ""Plant"", ""Seed"", ""Bean""]",3876,4365,"[""Pyramid"", ""Earth"", ""Plant"", ""Soybean"", ""Peanut"", ""Seed"", ""Pea"", ""Bean""]",11335,4075,"[""Pyramid"", ""Egypt"", ""Cereal"", ""Seed"", ""Bean""]",15425,18528
Aircraft_Google_0,Aircraft,Google,Hard,"[""Aircraft"", ""Boeing"", ""NASA"", ""Information technology"", ""Internet"", ""Google""]",298,1608,"[""Aircraft"", ""United_Kingdom"", ""Computer"", ""Internet"", ""World_Wide_Web"", ""Google""]",3310,2863,"[""Aircraft"", ""Vietnam_War"", ""United_States"", ""Internet"", ""World_Wide_Web"", ""Google""]",9184,2315,,0,0
Computer_Fruit_0,Computer,Fruit,Hard,"[""Computer"", ""Apple Inc."", ""Apple (fruit)"", ""Fruit""]",298,1493,"[""Computer"", ""Computer_and_video_games"", ""Pac-Man"", ""Fruit""]",1537,2492,"[""Computer"", ""Toy"", ""Animal"", ""Water"", ""Agriculture"", ""Vegetable"", ""Food"", ""Cereal"", ""Fruit""]",13105,3527,,0,0
Batman_Penguin_0,Batman,Penguin,Hard,"[""Batman"", ""Penguin""]",299,127,"[""Batman"", ""Crime"", ""Family"", ""Society"", ""Science"", ""Biology"", ""Animal"", ""Vertebrate"", ""Bird"", ""Penguin""]",4494,4146,"[""Batman"", ""Superman"", ""Jew"", ""Geography"", ""Water"", ""Fish"", ""Dolphin"", ""Animal"", ""Magellanic_Penguin"", ""Penguin""]",13304,4992,"[""Batman"", ""Crime"", ""United_States"", ""Antarctica"", ""Penguin""]",12750,14853
Calculus_Lemon_0,Calculus,Lemon,Hard,,0,0,"[""Calculus"", ""Mathematics""]",8981,7316,"[""Calculus"", ""Latin"", ""English_language"", ""Language"", ""Biology"", ""Plant"", ""Fruit"", ""Citrus"", ""Lemon""]",13277,5000,"[""Calculus"", ""Physics"", ""Energy"", ""Food"", ""Vitamin_C"", ""Lemon""]",21969,18746
George_W._Bush_Monkey_0,George_W._Bush,Monkey,Hard,"[""George_W._Bush"", ""United_States"", ""United_States_Department_of_Education"", ""Education"", ""Biology"", ""Animal"", ""Monkey""]",301,1869,"[""George_W._Bush"", ""Stem_cell"", ""Cell_(biology)"", ""Organism"", ""Animal"", ""Vertebrate"", ""Mammal"", ""Human"", ""Ape"", ""Monkey""]",5183,5695,"[""George_W._Bush"", ""Moon"", ""Japan"", ""South_Korea"", ""Nigeria""]",18457,7150,"[""George_W._Bush"", ""United_Nations"", ""South_Africa"", ""Biodiversity"", ""Rainforest"", ""Monkey""]",27736,26275
Batman_Coconut_crab_0,Batman,Coconut_crab,Hard,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Animal"", ""Insect"", ""Crustacean"", ""Arthropod"", ""Coconut_crab""]",3493,4552,"[""Batman"", ""Spring_Heeled_Jack""]",15531,8588,"[""Batman"", ""Crime"", ""Family"", ""Anthropology"", ""Evolution"", ""Arthropod"", ""Coconut_crab""]",40670,45206
Batman_Peanut_0,Batman,Peanut,Hard,"[""Batman"", ""DC Comics"", ""Comic Book"", ""Book"", ""Publishing"", ""Business"", ""Agriculture"", ""Crop"", ""Legume"", ""Peanut""]",299,1471,"[""Batman"", ""Crime"", ""Law"", ""International_law"", ""United_Nations"", ""Food"", ""Peanut""]",3678,3902,"[""Batman"", ""Superman""]",15812,7746,,0,0
Cat_University_0,Cat,University,Hard,"[""Cat"", ""Zoology"", ""Biology"", ""Science"", ""Science education"", ""Education"", ""Higher education"", ""University""]",298,366,"[""Cat"", ""Animal"", ""Aristotle"", ""Education"", ""University""]",2090,2930,"[""Cat"", ""Cyprus"", ""United_States"", ""Education"", ""University""]",7920,2624,"[""Cat"", ""Mammal"", ""Whale"", ""Science"", ""University""]",13065,10896
God_Apple_0,God,Apple,Hard,"[""God"", ""Abrahamic religions"", ""Christianity"", ""Bible"", ""Genesis (Bible)"", ""Garden of Eden"", ""Apple""]",298,1957,"[""God"", ""United_States""]",6572,5422,"[""God"", ""United_States"", ""Electronics""]",14006,4815,"[""God"", ""Nature"", ""Plant"", ""Fruit"", ""Apple""]",18989,13673
Canada_Pony_0,Canada,Pony,Hard,"[""Canada"", ""Horse"", ""Pony""]",299,142,"[""Canada"", ""English_language"", ""Great_Britain""]",7215,5980,,0,0,,0,0
AIDS_Tour_de_France_0,AIDS,Tour_de_France,Hard,"[""AIDS"", ""Human immunodeficiency virus"", ""Medicine"", ""Sports medicine"", ""Cycling"", ""Tour de France""]",302,1849,"[""AIDS"", ""France"", ""Lyon"", ""Paris"", ""Tour_de_France""]",2725,1571,,0,0,"[""AIDS"", ""France"", ""Marseille"", ""Paris"", ""Tour_de_France""]",8419,7855
Cereal_Kurt_Cobain_0,Cereal,Kurt_Cobain,Hard,"[""Cereal"", ""Breakfast"", ""Breakfast foods"", ""American cuisine"", ""United States"", ""American music"", ""Alternative rock"", ""Grunge"", ""Nirvana (band)"", ""Kurt Cobain""]",303,1949,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",3615,1487,"[""Cereal"", ""United_States"", ""Music_of_the_United_States"", ""Nirvana_(band)"", ""Kurt_Cobain""]",7739,2645,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",12003,7724
Christianity_Natalie_Portman_0,Christianity,Natalie_Portman,Hard,"[""Christianity"", ""United States"", ""Hollywood"", ""Film"", ""Black Swan"", ""Natalie_Portman""]",302,1219,"[""Christianity"", ""Judaism""]",4542,3158,"[""Christianity"", ""A_cappella"", ""Renaissance_music""]",15894,8805,,0,0
Colombia_Menthol_0,Colombia,Menthol,Hard,"[""Colombia"", ""Flora of Colombia"", ""Lamiaceae"", ""Mentha"", ""Menthol""]",300,1521,"[""Colombia"", ""South_America"", ""Brazil""]",6702,8678,"[""Colombia"", ""Spanish_language"", ""United_Kingdom"", ""GlaxoSmithKline"", ""Vitamin_C""]",17353,9621,,0,0
Napoleonic_Wars_Superman_0,Napoleonic_Wars,Superman,Hard,,0,0,,0,0,"[""Napoleonic_Wars"", ""United_States""]",11472,5938,"[""Napoleonic_Wars"", ""United_States"", ""Television"", ""Film"", ""Animation"", ""Motion_(physics)"", ""Physics"", ""Superman""]",51275,53045
Batman_Wikisource_0,Batman,Wikisource,Hard,"[""Batman"", ""Batman (film)"", ""Wikimedia Foundation"", ""Wikisource""]",300,1808,"[""Batman"", ""Superman""]",3583,4330,"[""Batman"", ""Superman""]",14233,6263,,0,0
Christianity_Coconut_crab_0,Christianity,Coconut_crab,Hard,"[""Christianity"", ""Religion"", ""Science"", ""Biology"", ""Animal"", ""Crab"", ""Coconut_crab""]",302,762,"[""Christianity"", ""Philippines"", ""Indonesia"", ""India"", ""Indian_Ocean"", ""Maldives"", ""Fishing"", ""Crustacean"", ""Arthropod"", ""Coconut_crab""]",5382,5569,,0,0,,0,0
David_Beckham_Frog_0,David_Beckham,Frog,Hard,,0,0,"[""David_Beckham"", ""England"", ""United_Kingdom""]",7745,7546,"[""David_Beckham"", ""Pel\u00e9"", ""Nazism"", ""Animal_rights"", ""Gorilla"", ""Otter"", ""Frog""]",8694,4807,"[""David_Beckham"", ""Football_(soccer)"", ""FIFA"", ""Europe"", ""Carnivore"", ""Frog""]",20869,25559
Geometry_Volleyball_0,Geometry,Volleyball,Hard,"[""Geometry"", ""Mathematics"", ""Game theory"", ""Game"", ""Sports"", ""Volleyball""]",299,1406,"[""Geometry"", ""Physics"", ""Motion_(physics)""]",5736,5922,"[""Geometry"", ""Physics""]",11252,5012,,0,0
Brain_Telephone_1,Brain,Telephone,Medium,"[""Brain"", ""Psychology"", ""Communication"", ""Telephone""]",298,575,"[""Brain"", ""Computer_science"", ""Information"", ""Communication""]",2433,1946,"[""Brain"", ""Chordate"", ""Animal"", ""Vertebrate"", ""Human"", ""Communication"", ""Telephone""]",8445,2991,"[""Brain"", ""Mind"", ""Psychology"", ""19th_century"", ""Telephone""]",11253,8989
Theatre_Zebra_1,Theatre,Zebra,Medium,,0,0,"[""Theatre"", ""Brazil"", ""Africa"", ""Zebra""]",2581,2044,"[""Theatre"", ""Dance"", ""Animal"", ""Mammal"", ""Lion"", ""Zebra""]",7723,3199,"[""Theatre"", ""Drama"", ""Television"", ""Telecommunication"", ""Africa"", ""Lion"", ""Zebra""]",53990,56431
Asteroid_Viking_1,Asteroid,Viking,Medium,"[""Asteroid"", ""Space probe"", ""Viking (spacecraft)""]",300,843,"[""Asteroid"", ""Mars""]",6611,6805,,0,0,,0,0
Batman_Wood_1,Batman,Wood,Medium,,0,0,"[""Batman"", ""Crime"", ""Industry"", ""Manufacturing"", ""Engineering"", ""Technology"", ""Wood""]",2752,3022,"[""Batman"", ""Earthquake"", ""Earth"", ""Soil"", ""Forest"", ""Tree"", ""Wood""]",8358,3662,,0,0
Beer_Sun_1,Beer,Sun,Medium,"[""Beer"", ""Brewing"", ""Fermentation"", ""Microbiology"", ""Biology"", ""Biochemistry"", ""Chemistry"", ""Physics"", ""Astrophysics"", ""Sun""]",298,842,"[""Beer"", ""Carbon_dioxide"", ""Photosynthesis"", ""Photon"", ""Light"", ""Sun""]",2852,3214,"[""Beer"", ""Sugar"", ""Honey"", ""Gold"", ""Iron"", ""Star"", ""Sun""]",10117,4620,"[""Beer"", ""Water"", ""Sun""]",3271,2621
Batman_Banana_1,Batman,Banana,Medium,,0,0,"[""Batman"", ""Superman"", ""Film""]",6812,6465,,0,0,"[""Batman"", ""Superman"", ""Film"", ""Color"", ""Fruit"", ""Banana""]",21297,18343
Cat_Computer_1,Cat,Computer,Medium,"[""Cat"", ""Felis catus"", ""Mammal"", ""Animal"", ""Biology"", ""Science"", ""Computer science"", ""Computer""]",298,740,"[""Cat"", ""Scientific_classification"", ""Human"", ""Technology"", ""Computer_science"", ""Charles_Babbage"", ""Computer""]",3387,3693,"[""Cat"", ""Sound""]",13300,4425,"[""Cat"", ""Mammal"", ""Human"", ""Technology"", ""Computer""]",8867,7518
Cat_Microsoft_1,Cat,Microsoft,Medium,,0,0,"[""Cat"", ""Animal"", ""Scientific_classification"", ""Apple"", ""United_States"", ""Computer"", ""Microsoft_Windows"", ""Microsoft""]",5128,5559,"[""Cat"", ""Sound"", ""Music"", ""Language"", ""Computer_science"", ""Internet"", ""Microsoft""]",8267,2545,"[""Cat"", ""Evolution"", ""Computer"", ""Microsoft_Windows"", ""Microsoft""]",17568,11423
Dog_Telephone_1,Dog,Telephone,Medium,"[""Dog"", ""Domestic dog"", ""Human"", ""Science and technology"", ""Telecommunications"", ""Telephone""]",298,679,"[""Dog"", ""English_language"", ""United_States"", ""Electronics"", ""Telephone""]",3914,1910,"[""Dog"", ""DNA"", ""Information"", ""Communication"", ""Telephone""]",5827,1995,"[""Dog"", ""Mammal"", ""20th_century"", ""Telephone""]",8445,6849
Dog_Venus_1,Dog,Venus,Medium,"[""Dog"", ""Domestic dog"", ""Canis lupus familiaris"", ""Canis"", ""Animal"", ""Life"", ""Astrobiology"", ""Venus""]",299,948,"[""Dog"", ""Mammal"", ""Vertebrate"", ""Animal"", ""Sunlight"", ""Sun"", ""Solar_System"", ""Venus""]",3882,4161,"[""Dog"", ""Fossil""]",14689,7126,"[""Dog"", ""Animal"", ""Carbon_dioxide"", ""Greenhouse_effect"", ""Venus""]",13377,12053
Aluminium_chloride_Parrot_1,Aluminium_chloride,Parrot,Medium,,0,0,"[""Aluminium_chloride"", ""Chlorine"", ""Color"", ""Bird"", ""Parrot""]",2100,3427,,0,0,"[""Aluminium_chloride"", ""Recycling"", ""Environmental_science"", ""Ecology"", ""Biodiversity"", ""Bird"", ""Parrot""]",45256,43077
Batman_Bible_1,Batman,Bible,Medium,"[""Batman"", ""DC Comics"", ""Comic book"", ""Graphic novel"", ""Fantasy"", ""Mythology"", ""Religion"", ""Bible""]",298,1886,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",1480,1037,"[""Batman"", ""Chemistry"", ""Science"", ""Middle_Ages"", ""Christianity"", ""Bible""]",7485,2014,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",5635,3741
England_God_1,England,God,Medium,"[""England"", ""Christianity"", ""Bible"", ""God""]",298,316,"[""England"", ""Christianity"", ""Bible"", ""God""]",2415,1508,"[""England"", ""Christianity"", ""Jesus"", ""God""]",5775,921,"[""England"", ""Anglicanism"", ""God""]",4445,2655
Art_Mango_1,Art,Mango,Medium,"[""Art"", ""Culinary art"", ""Food"", ""Fruit"", ""Mango""]",299,1146,"[""Art"", ""Painting"", ""India"", ""Mango""]",2179,2374,"[""Art"", ""Sultan"", ""Sumatra"", ""Palm_oil"", ""Indonesia"", ""India"", ""Mango""]",9594,3929,"[""Art"", ""Color"", ""Fruit"", ""Mango""]",4466,6018
14th_century_Rainbow_1,14th_century,Rainbow,Medium,"[""14th_century"", ""14th_century_in_science"", ""Astronomy"", ""Optics"", ""Color"", ""Rainbow""]",301,935,"[""14th_century"", ""Renaissance"", ""Music"", ""Physics"", ""Light"", ""Rainbow""]",3229,2531,"[""14th_century"", ""Abacus"", ""Latin"", ""Science"", ""Quantum_mechanics"", ""Wave"", ""Ultraviolet"", ""Color"", ""Rainbow""]",11409,5097,"[""14th_century"", ""Renaissance"", ""Art"", ""Color"", ""Rainbow""]",11973,8161
Electricity_God_1,Electricity,God,Medium,"[""Electricity"", ""Electrical energy"", ""Energy"", ""Physics"", ""Philosophy"", ""Religion"", ""God""]",299,780,"[""Electricity"", ""Mesopotamia"", ""God""]",1203,1281,"[""Electricity"", ""Physics"", ""Sun""]",12325,4440,"[""Electricity"", ""Physics"", ""Philosophy"", ""Religion"", ""God""]",15050,10255
Archbishop_of_Canterbury_Vietnam_1,Archbishop_of_Canterbury,Vietnam,Medium,"[""Archbishop_of_Canterbury"", ""Canterbury"", ""England"", ""Europe"", ""Asia"", ""Southeast Asia"", ""Vietnam""]",303,1271,"[""Archbishop_of_Canterbury"", ""Anglican_Communion"", ""British_Empire"", ""United_Kingdom"", ""France"", ""China"", ""Vietnam""]",5038,2519,"[""Archbishop_of_Canterbury"", ""Rome"", ""France"", ""China"", ""Vietnam""]",7109,2636,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",5988,4993
Batman_Vitamin_D_1,Batman,Vitamin_D,Medium,"[""Batman"", ""Comic book character"", ""Superhero"", ""Superpower"", ""Energy"", ""Solar energy"", ""Sun"", ""Sunlight"", ""Vitamin_D""]",299,1808,"[""Batman"", ""Chemistry"", ""Biology""]",4221,3130,"[""Batman"", ""Chemistry"", ""Medicine"", ""Health"", ""Nutrition"", ""Vitamin_D""]",6770,2764,"[""Batman"", ""Superman"", ""Sun"", ""Sunlight"", ""Vitamin_D""]",13256,11402
China_Moon_1,China,Moon,Medium,"[""China"", ""Chinese space program"", ""Lunar exploration (China)"", ""Chang'e 4"", ""Moon""]",298,724,"[""China"", ""Beijing"", ""Great_Wall_of_China"", ""Neil_Armstrong"", ""Moon""]",2696,2562,"[""China"", ""Pacific_Ocean"", ""Earth"", ""Planet"", ""Moon""]",7293,1381,"[""China"", ""Shanghai"", ""Solar_eclipse"", ""Lunar_eclipse"", ""Moon""]",9080,7396
Achilles_tendon_Ivory_1,Achilles_tendon,Ivory,Medium,"[""Achilles_tendon"", ""Calcaneus"", ""Heel"", ""Foot"", ""Ankle"", ""Tibia"", ""Bone"", ""Tusks"", ""Elephant"", ""Ivory""]",302,1767,,0,0,"[""Achilles_tendon"", ""Achilles""]",12985,4302,"[""Achilles_tendon"", ""Latin"", ""Latin_alphabet"", ""Roman_Empire"", ""Sculpture"", ""Ancient_Greece"", ""Jewellery"", ""Ivory""]",55736,60050
Pyramid_Bean_1,Pyramid,Bean,Hard,,0,0,"[""Pyramid"", ""Mexico"", ""Agriculture"", ""Vegetable"", ""Bean""]",2205,2853,"[""Pyramid"", ""Great_Pyramid_of_Giza"", ""Agriculture"", ""Soybean"", ""Seed"", ""Pea"", ""Bean""]",8892,5033,,0,0
Aircraft_Google_1,Aircraft,Google,Hard,"[""Aircraft"", ""Aeronautical engineering"", ""Engineering"", ""Technology"", ""Internet"", ""Search engine"", ""Google""]",298,1779,"[""Aircraft"", ""United_Kingdom"", ""Computer"", ""Internet"", ""World_Wide_Web"", ""Google""]",3310,2248,"[""Aircraft"", ""United_Kingdom"", ""Television"", ""Internet"", ""Information"", ""Computer_science"", ""Computer_programming"", ""Microsoft"", ""World_Wide_Web"", ""Google""]",13368,5588,"[""Aircraft"", ""United_Kingdom"", ""Computer"", ""World_Wide_Web"", ""Google""]",14271,13443
Computer_Fruit_1,Computer,Fruit,Hard,,0,0,,0,0,"[""Computer"", ""Toy"", ""Apple"", ""Fruit""]",4916,1470,"[""Computer"", ""Computer_and_video_games"", ""Pac-Man"", ""Fruit""]",2809,4162
Batman_Penguin_1,Batman,Penguin,Hard,"[""Batman"", ""Penguin (character)""]",299,179,"[""Batman"", ""Crime"", ""Culture"", ""Nature"", ""Animal"", ""Bird"", ""Penguin""]",3309,3086,"[""Batman"", ""Crime"", ""Police"", ""Hong_Kong"", ""Asia"", ""Earth"", ""Antarctica"", ""Penguin""]",11507,3835,"[""Batman"", ""Crime"", ""United_States"", ""Antarctica"", ""Penguin""]",12101,9518
Calculus_Lemon_1,Calculus,Lemon,Hard,,0,0,"[""Calculus"", ""Mathematics"", ""Economics"", ""United_States"", ""Agriculture"", ""Fruit"", ""Citrus"", ""Lemon""]",5302,4502,"[""Calculus"", ""Business"", ""Money"", ""Water"", ""Color"", ""Fruit"", ""Citrus"", ""Lemon""]",11103,6493,"[""Calculus"", ""Biology"", ""Plant"", ""Fruit"", ""Citrus"", ""Lemon""]",18234,17218
George_W._Bush_Monkey_1,George_W._Bush,Monkey,Hard,"[""George_W._Bush"", ""George_H._W._Bush"", ""United_States"", ""Wildlife_of_the_United_States"", ""Mammals_of_the_United_States"", ""Primates"", ""Monkey""]",301,1933,"[""George_W._Bush"", ""United_States""]",3710,2578,"[""George_W._Bush"", ""Panama"", ""Uruguay"", ""Brazil"", ""Rainforest"", ""Monkey""]",8351,4949,,0,0
Batman_Coconut_crab_1,Batman,Coconut_crab,Hard,"[""Batman"", ""Bat"", ""Chiroptera"", ""Mammal"", ""Animal"", ""Crustacean"", ""Crab"", ""Coconut_crab""]",301,1117,"[""Batman"", ""Chemistry"", ""Organism"", ""Arthropod""]",6702,6573,"[""Batman"", ""Spring_Heeled_Jack""]",16461,6958,"[""Batman"", ""Superman"", ""Earth"", ""Ocean"", ""Crustacean"", ""Arthropod"", ""Coconut_crab""]",42182,47258
Batman_Peanut_1,Batman,Peanut,Hard,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Cell_(biology)"", ""Organism"", ""Plant"", ""Agriculture"", ""Pea"", ""Vegetable"", ""Bean"", ""Peanut""]",5284,5690,"[""Batman"", ""Superman"", ""Seinfeld"", ""Television"", ""Sound"", ""Bat"", ""Seed"", ""Peanut""]",8361,4169,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Seed"", ""Peanut""]",21233,19534
