id,start,destination,difficulty,tot_paths,tot_input_tokens,tot_output_tokens
Computer_Fruit_2,Computer,Fruit,Hard,"[""Computer"", ""Toy"", ""Apple"", ""Fruit""]",4323,4094
Batman_Penguin_2,Batman,Penguin,Hard,"[""Batman"", ""Superman"", ""Television"", ""New_Zealand"", ""Antarctica"", ""Penguin""]",20970,19104
Calculus_Lemon_2,Calculus,Lemon,Hard,"[""Calculus"", ""Biology"", ""Botany"", ""Fruit"", ""Citrus"", ""Lemon""]",27329,26242
George_W._Bush_Monkey_2,George_W._Bush,Monkey,Hard,,0,0
Batman_Coconut_crab_2,Batman,Coconut_crab,Hard,,0,0
Batman_Peanut_2,Batman,Peanut,Hard,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Seed"", ""Peanut""]",22169,20686
Cat_University_2,Cat,University,Hard,"[""Cat"", ""Animal"", ""Human"", ""University""]",4555,3811
God_Apple_2,God,Apple,Hard,,0,0
Canada_Pony_2,Canada,Pony,Hard,,0,0
AIDS_Tour_de_France_2,AIDS,Tour_de_France,Hard,"[""AIDS"", ""Belgium"", ""Tour_de_France""]",3407,1984
Cereal_Kurt_Cobain_2,Cereal,Kurt_Cobain,Hard,"[""Cereal"", ""United_States"", ""American_popular_music"", ""Nirvana_(band)"", ""Kurt_Cobain""]",11616,7139
Christianity_Natalie_Portman_2,Christianity,Natalie_Portman,Hard,"[""Christianity"", ""Judaism"", ""Jerusalem"", ""Natalie_Portman""]",12028,8071
Colombia_Menthol_2,Colombia,Menthol,Hard,,0,0
Napoleonic_Wars_Superman_2,Napoleonic_Wars,Superman,Hard,,0,0
Batman_Wikisource_2,Batman,Wikisource,Hard,,0,0
Christianity_Coconut_crab_2,Christianity,Coconut_crab,Hard,"[""Christianity"", ""Philippines"", ""Guam"", ""Invasive_species"", ""Australia"", ""Christmas_Island"", ""Coconut_crab""]",29996,29551
David_Beckham_Frog_2,David_Beckham,Frog,Hard,"[""David_Beckham"", ""England"", ""United_Kingdom"", ""DNA"", ""Animal"", ""Australian_Green_Tree_Frog"", ""Frog""]",33979,35699
Geometry_Volleyball_2,Geometry,Volleyball,Hard,"[""Geometry"", ""Mathematics"", ""Game_theory"", ""Economics"", ""United_States"", ""Olympic_Games"", ""Volleyball""]",36604,25339
