id,start,destination,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens,difficulty
Aluminium_chloride_Parrot_0,Aluminium_chloride,Parrot,,0,0,"[""Aluminium_chloride"", ""Chlorine"", ""Oxygen"", ""DNA"", ""Animal"", ""Bird"", ""Parrot""]",3175,4738,,0,0,,0,0,Medium
Batman_Bible_0,Batman,Bible,"[""Batman"", ""American comics"", ""Comics"", ""United States"", ""Religion in the United States"", ""Christianity"", ""Bible""]",298,1463,"[""Batman"", ""Earthquake"", ""United_Kingdom"", ""Anglican_Communion"", ""Christianity"", ""Bible""]",3401,2617,"[""Batman"", ""Crime"", ""Law"", ""Judaism"", ""Bible""]",5477,1706,"[""Batman"", ""Superman"", ""Judaism"", ""Bible""]",7000,3788,Medium
England_God_0,England,God,"[""England"", ""Christianity"", ""Christian theology"", ""God""]",298,447,"[""England"", ""Church_of_England"", ""Christianity"", ""Bible"", ""God""]",3009,1220,"[""England"", ""Christianity"", ""Jesus"", ""Allah"", ""God""]",6508,1946,"[""England"", ""Christianity"", ""Religion"", ""God""]",4957,2601,Medium
Art_Mango_0,Art,Mango,"[""Art"", ""Botany"", ""Plant"", ""Tree"", ""Fruit tree"", ""Fruit"", ""Mango""]",299,1287,"[""Art"", ""Painting"", ""India"", ""Mango""]",2179,2396,,0,0,"[""Art"", ""China"", ""Indonesia"", ""India"", ""Mango""]",10303,8220,Medium
14th_century_Rainbow_0,14th_century,Rainbow,"[""14th century"", ""England"", ""United Kingdom"", ""Music of the United Kingdom"", ""British rock music"", ""Heavy metal"", ""Black Sabbath"", ""Ronnie James Dio"", ""Rainbow (band)""]",301,1943,"[""14th_century"", ""Renaissance"", ""Science""]",3760,3222,"[""14th_century"", ""Abacus""]",7688,3375,"[""14th_century"", ""Renaissance"", ""Art"", ""Color"", ""Rainbow""]",9817,6788,Medium
Electricity_God_0,Electricity,God,"[""Electricity"", ""Physics"", ""Philosophy"", ""Theology"", ""God""]",299,351,"[""Electricity"", ""Ancient_Greece"", ""Plato"", ""Christianity"", ""Bible"", ""God""]",2966,2841,"[""Electricity"", ""Mesopotamia"", ""Religion"", ""Jesus"", ""Bible"", ""God""]",7766,2425,"[""Electricity"", ""Physics"", ""Philosophy"", ""Religion"", ""God""]",9998,6408,Medium
Archbishop_of_Canterbury_Vietnam_0,Archbishop_of_Canterbury,Vietnam,"[""Archbishop_of_Canterbury"", ""Archdiocese_of_Canterbury"", ""Canterbury_Cathedral"", ""Canterbury"", ""England"", ""United_Kingdom"", ""United_Nations"", ""Vietnam""]",303,796,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Pope John Paul II""]",1212,1458,"[""Archbishop_of_Canterbury"", ""England"", ""France"", ""China"", ""Mekong"", ""Vietnam""]",8704,2572,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Pope_Benedict_XVI"", ""China"", ""Vietnam""]",12888,11358,Medium
Batman_Vitamin_D_0,Batman,Vitamin_D,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Medicine"", ""Health"", ""Nutrition"", ""Vitamin_D""]",3163,2956,"[""Batman"", ""Chemistry"", ""Biology""]",7801,2156,"[""Batman"", ""Superman"", ""Sun"", ""Vitamin_D""]",7959,5417,Medium
China_Moon_0,China,Moon,"[""China"", ""Chinese Space Program"", ""Space program"", ""Space"", ""Moon""]",298,670,"[""China"", ""United_States"", ""Space_Shuttle_Columbia"", ""Earth"", ""Moon""]",4195,2200,"[""China"", ""United_States"", ""Apollo_11"", ""Moon_landing"", ""Moon""]",7129,1470,"[""China"", ""Ancient_Egypt"", ""Egypt"", ""United_States"", ""Moon""]",12145,6723,Medium
Achilles_tendon_Ivory_0,Achilles_tendon,Ivory,"[""Achilles tendon"", ""Ankle"", ""Foot"", ""Skeletal system"", ""Mammal"", ""Elephant"", ""Ivory""]",302,863,,0,0,"[""Achilles_tendon"", ""Achilles""]",9254,2224,,0,0,Medium
Pyramid_Bean_0,Pyramid,Bean,,0,0,"[""Pyramid"", ""Egyptian_pyramids"", ""Ancient_Egypt""]",3208,2605,,0,0,"[""Pyramid"", ""California"", ""Vegetable"", ""Bean""]",7618,7701,Hard
Aircraft_Google_0,Aircraft,Google,,0,0,"[""Aircraft"", ""United_Kingdom"", ""Computer"", ""Internet"", ""Tim_Berners-Lee"", ""World_Wide_Web"", ""Google""]",3735,5280,"[""Aircraft"", ""Russia""]",10039,2910,"[""Aircraft"", ""United_Kingdom"", ""Computer"", ""World_Wide_Web"", ""Google""]",10103,8319,Hard
Computer_Fruit_0,Computer,Fruit,"[""Computer"", ""Apple\u00a0Inc."", ""Apple\u00a0(fruit)""]",298,472,"[""Computer"", ""Internet"", ""World_Wide_Web"", ""Book"", ""Ancient_Egypt"", ""Agriculture"", ""Fruit""]",3315,4804,"[""Computer"", ""Toy"", ""Apple"", ""Fruit""]",4618,1253,"[""Computer"", ""Internet"", ""Information"", ""DNA"", ""Plant"", ""Fruit""]",13826,14270,Hard
Batman_Penguin_0,Batman,Penguin,"[""Batman (character)"", ""Penguin (villain)""]",299,516,"[""Batman"", ""Crime"", ""Family"", ""United_States"", ""Antarctica"", ""Penguin""]",3962,4090,"[""Batman"", ""Superman"", ""Human"", ""Antarctica"", ""Penguin""]",5680,2076,"[""Batman"", ""Spring_Heeled_Jack"", ""Earth"", ""Antarctica"", ""Penguin""]",12792,11885,Hard
Calculus_Lemon_0,Calculus,Lemon,"[""Calculus"", ""Mathematics"", ""Science"", ""Natural science"", ""Botany"", ""Fruit"", ""Citrus"", ""Lemon""]",300,1160,"[""Calculus"", ""Biology"", ""Plant"", ""Fruit"", ""Citrus"", ""Lemon""]",2788,2030,,0,0,,0,0,Hard
George_W._Bush_Monkey_0,George_W._Bush,Monkey,"[""George W. Bush"", ""United States"", ""United Nations"", ""Human rights"", ""Animal rights"", ""Primates"", ""Monkey""]",301,2037,"[""George_W._Bush"", ""United_States"", ""American_English"", ""New_York_City""]",5530,6774,"[""George_W._Bush"", ""Moon"", ""Earth""]",10103,4079,"[""George_W._Bush"", ""AIDS"", ""HIV"", ""Africa"", ""Monkey""]",15735,16152,Hard
Batman_Coconut_crab_0,Batman,Coconut_crab,"[""Batman"", ""Bat"", ""Mammal"", ""Animal"", ""Arthropod"", ""Crustacea"", ""Coconut crab""]",301,1224,"[""Batman"", ""Crime""]",3673,3942,"[""Batman"", ""Spring_Heeled_Jack"", ""Moon""]",7987,4124,,0,0,Hard
Batman_Peanut_0,Batman,Peanut,,0,0,"[""Batman"", ""Chemistry""]",3451,3068,,0,0,"[""Batman"", ""Scotland"", ""Agriculture"", ""Soybean"", ""Peanut""]",15798,16940,Hard
Cat_University_0,Cat,University,"[""Cat"", ""Domestic cat"", ""Felidae"", ""Mammalia"", ""Mammalogy"", ""Biology"", ""Science"", ""University""]",298,980,"[""Cat"", ""Animal"", ""Human"", ""Science"", ""University""]",2531,2499,"[""Cat"", ""Animal"", ""Plant"", ""Scotland"", ""University""]",6478,2345,"[""Cat"", ""Mammal"", ""Human"", ""Organization"", ""University""]",6581,7012,Hard
God_Apple_0,God,Apple,,0,0,"[""God"", ""Nature"", ""Plant"", ""Fruit"", ""Apple""]",2413,1793,"[""God"", ""Allah""]",9656,3728,"[""God"", ""Nature"", ""Plant"", ""Fruit"", ""Apple""]",13176,11174,Hard
Canada_Pony_0,Canada,Pony,"[""Canada"", ""Horse"", ""Pony""]",299,534,"[""Canada"", ""United_States"", ""American_English""]",5279,3952,,0,0,,0,0,Hard
AIDS_Tour_de_France_0,AIDS,Tour_de_France,,0,0,"[""AIDS"", ""Europe"", ""France"", ""Paris"", ""Tour_de_France""]",3328,1949,"[""AIDS"", ""France""]",6750,1867,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",5501,4730,Hard
Cereal_Kurt_Cobain_0,Cereal,Kurt_Cobain,,0,0,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",3615,2211,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",7251,2874,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",10221,7648,Hard
Christianity_Natalie_Portman_0,Christianity,Natalie_Portman,"[""Christianity"", ""Religion"", ""Cinema"", ""Hollywood"", ""Actors"", ""Natalie Portman""]",302,1766,"[""Christianity"", ""Middle_East"", ""Israel"", ""Jerusalem"", ""Natalie_Portman""]",3191,3489,"[""Christianity"", ""Paul_of_Tarsus""]",10393,3216,"[""Christianity"", ""Middle_East"", ""Hebrew_language"", ""Judaism"", ""Jew"", ""Jerusalem"", ""Natalie_Portman""]",55111,43445,Hard
Colombia_Menthol_0,Colombia,Menthol,,0,0,"[""Colombia"", ""Latin_America""]",3688,3986,"[""Colombia"", ""Andes"", ""Galeras""]",3408,1527,,0,0,Hard
Napoleonic_Wars_Superman_0,Napoleonic_Wars,Superman,"[""Napoleonic Wars"", ""Napoleon Bonaparte"", ""France"", ""French culture"", ""French comics"", ""Comic book"", ""Superhero"", ""Superman""]",303,1737,"[""Napoleonic_Wars"", ""United_States""]",3982,2946,"[""Napoleonic_Wars"", ""United_States"", ""Film""]",9630,3394,,0,0,Hard
Batman_Wikisource_0,Batman,Wikisource,"[""Batman"", ""Batman (character)"", ""Comic book character"", ""Comic book"", ""Wikipedia"", ""Wikimedia"", ""Wikisource""]",300,1732,"[""Batman"", ""Superman"", ""Newspaper""]",2842,3877,"[""Batman"", ""Chemistry""]",8364,2707,,0,0,Hard
Christianity_Coconut_crab_0,Christianity,Coconut_crab,"[""Christianity"", ""Christianity in Indonesia"", ""Indonesia"", ""Coconut"", ""Coconut crab""]",302,1062,"[""Christianity"", ""Philippines""]",3764,3806,,0,0,"[""Christianity"", ""Oceania"", ""Christmas_Island"", ""Coconut_crab""]",4058,4303,Hard
David_Beckham_Frog_0,David_Beckham,Frog,,0,0,,0,0,,0,0,,0,0,Hard
Geometry_Volleyball_0,Geometry,Volleyball,"[""Geometry"", ""Mathematics"", ""Statistics"", ""Sports statistics"", ""Volleyball""]",299,1187,"[""Geometry"", ""Physics""]",3661,4704,"[""Geometry"", ""Physics""]",8337,2558,"[""Geometry"", ""Mathematics"", ""Statistics"", ""Measurement"", ""United_States"", ""Basketball"", ""Volleyball""]",22171,20506,Hard
Brain_Telephone_1,Brain,Telephone,"[""Brain"", ""Human brain"", ""Human"", ""Communication"", ""Telephone""]",298,1327,"[""Brain"", ""Computer_science"", ""Internet"", ""World_Wide_Web"", ""Telephone""]",2057,3184,,0,0,"[""Brain"", ""Computer_science"", ""Information"", ""Communication"", ""Telephone""]",9969,9928,Medium
Theatre_Zebra_1,Theatre,Zebra,"[""Theatre"", ""Theatre of the Absurd"", ""Absurdism"", ""Philosophy"", ""Philosophy of science"", ""Science"", ""Biology"", ""Zoology"", ""Zebra""]",300,1896,"[""Theatre"", ""Music"", ""Culture"", ""Nature"", ""Mammal"", ""Zebra""]",2790,3106,"[""Theatre"", ""Dance"", ""Animal"", ""Mammal"", ""Zebra""]",5707,3298,"[""Theatre"", ""Music"", ""Culture"", ""Africa"", ""Giraffe"", ""Mammal"", ""Zebra""]",40373,36305,Medium
Asteroid_Viking_1,Asteroid,Viking,"[""Asteroid"", ""Mars"", ""Viking (spacecraft)"", ""Viking (disambiguation)"", ""Viking""]",300,1534,"[""Asteroid"", ""Mars""]",4568,3321,,0,0,"[""Asteroid"", ""Earth"", ""Norse_mythology"", ""Denmark"", ""Viking""]",13455,16680,Medium
Batman_Wood_1,Batman,Wood,"[""Batman"", ""Bruce Wayne"", ""Wayne Manor"", ""House (architecture)"", ""Wood""]",298,1919,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Wood""]",5351,2222,"[""Batman"", ""Chemistry"", ""Fire"", ""Wood""]",3633,3701,Medium
Beer_Sun_1,Beer,Sun,"[""Beer"", ""Alcohol"", ""Fermentation"", ""Oenology"", ""Wine"", ""Grape"", ""Plant"", ""Photosynthesis"", ""Sun""]",298,584,"[""Beer"", ""Water"", ""Sun""]",1537,598,"[""Beer"", ""Sugar""]",9144,2898,"[""Beer"", ""Ethanol"", ""Hydrogen"", ""Sun""]",3837,3972,Medium
Batman_Banana_1,Batman,Banana,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Fruit"", ""Banana""]",2786,3348,"[""Batman"", ""Spring_Heeled_Jack"", ""Moon"", ""Potassium"", ""Fruit"", ""Banana""]",6609,1519,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Fruit"", ""Banana""]",19488,15176,Medium
Cat_Computer_1,Cat,Computer,"[""Cat"", ""Domestic cat"", ""Mammal"", ""Vertebrate"", ""Animal"", ""Biology"", ""Computer science"", ""Computer""]",298,580,"[""Cat"", ""Scientific_classification"", ""Human"", ""Technology"", ""Computer""]",2471,2403,"[""Cat"", ""Sound""]",11990,3771,"[""Cat"", ""Scientific_classification"", ""Evolution"", ""Computer""]",7287,5266,Medium
Cat_Microsoft_1,Cat,Microsoft,"[""Cat"", ""Animal"", ""Science"", ""Technology"", ""Computer"", ""Microsoft""]",298,769,"[""Cat"", ""Animal"", ""Human"", ""Technology"", ""Computer"", ""Microsoft_Windows"", ""Windows_XP"", ""Microsoft""]",3879,2880,"[""Cat"", ""Color"", ""Language"", ""Computer_science"", ""Computer_programming"", ""Microsoft_Windows"", ""Microsoft""]",7185,2838,"[""Cat"", ""Mammal"", ""20th_century"", ""Internet"", ""Microsoft""]",16488,12947,Medium
Dog_Telephone_1,Dog,Telephone,"[""Dog"", ""Domestic animal"", ""Animal"", ""Animal behavior"", ""Animal communication"", ""Communication"", ""Telephone""]",298,1476,"[""Dog"", ""Animal"", ""Organism"", ""Human"", ""Communication"", ""Telephone""]",2982,3025,"[""Dog"", ""Africa"", ""Language"", ""Sound"", ""Music"", ""Communication"", ""Television"", ""Telecommunication"", ""Telephone""]",11295,3167,"[""Dog"", ""Mammal"", ""20th_century"", ""Telephone""]",5837,4864,Medium
Dog_Venus_1,Dog,Venus,"[""Dog"", ""Mammal"", ""Animal"", ""Biology"", ""Science"", ""Natural science"", ""Physical science"", ""Astronomy"", ""Planet"", ""Venus""]",299,1554,"[""Dog"", ""Animal"", ""Carbon_dioxide"", ""Earth's_atmosphere"", ""Greenhouse_effect"", ""Venus""]",2549,2383,"[""Dog"", ""Peru"", ""Amazon_Rainforest""]",9907,4480,"[""Dog"", ""Scientific_classification"", ""Aristotle"", ""Astronomy"", ""Venus""]",10330,8042,Medium
Aluminium_chloride_Parrot_1,Aluminium_chloride,Parrot,,0,0,"[""Aluminium_chloride"", ""Chlorine"", ""Human"", ""Animal"", ""Chordate"", ""Bird"", ""Parrot""]",3511,5336,"[""Aluminium_chloride"", ""Benzene"", ""Carbon"", ""Plant"", ""Animal"", ""Bird"", ""Parrot""]",8907,3961,"[""Aluminium_chloride"", ""Chlorine"", ""Color"", ""Bird"", ""Parrot""]",11947,12398,Medium
Batman_Bible_1,Batman,Bible,"[""Batman"", ""DC Comics"", ""Comic book"", ""Fantasy"", ""Mythology"", ""Religion"", ""Bible""]",298,1596,"[""Batman"", ""Crime"", ""Religion"", ""Jesus"", ""Christianity"", ""Bible""]",2805,1622,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",3623,1120,"[""Batman"", ""Scotland"", ""Religion"", ""Bible""]",4500,3151,Medium
England_God_1,England,God,"[""England"", ""Religion in England"", ""Christianity"", ""God""]",298,482,"[""England"", ""Church_of_England"", ""Christianity"", ""Religion"", ""God""]",3130,1404,"[""England"", ""Christianity"", ""Jesus"", ""God""]",5481,1176,"[""England"", ""Hinduism"", ""God""]",3380,1438,Medium
Art_Mango_1,Art,Mango,"[""Art"", ""Culture"", ""Food"", ""Fruit"", ""Mango""]",299,1111,"[""Art"", ""Australia"", ""Asia"", ""India"", ""Mango""]",3299,2395,"[""Art"", ""Oman"", ""Sultan"", ""Sumatra"", ""India"", ""Hindi"", ""Himalayas"", ""Sikkim"", ""Banana"", ""Fruit"", ""Mango""]",15373,5150,"[""Art"", ""Painting"", ""India"", ""Mango""]",4246,5044,Medium
14th_century_Rainbow_1,14th_century,Rainbow,"[""14th_century"", ""European art"", ""Painting"", ""Color"", ""Rainbow""]",301,1316,"[""14th_century"", ""Renaissance""]",4733,3762,,0,0,"[""14th_century"", ""Renaissance"", ""Aesthetics"", ""Color"", ""Rainbow""]",8986,8133,Medium
Electricity_God_1,Electricity,God,"[""Electricity"", ""Physics"", ""Philosophy"", ""Theology"", ""God""]",299,490,"[""Electricity"", ""Ancient_Greece"", ""Ancient_Rome"", ""Roman_mythology"", ""Jupiter_(mythology)"", ""Zeus"", ""Religion"", ""God""]",4012,2386,"[""Electricity"", ""Ancient_Greece"", ""Ancient_Rome"", ""Christianity"", ""Jesus"", ""God""]",8158,2253,"[""Electricity"", ""Physics"", ""Philosophy"", ""Religion"", ""God""]",14278,9751,Medium
Archbishop_of_Canterbury_Vietnam_1,Archbishop_of_Canterbury,Vietnam,"[""Archbishop of Canterbury"", ""Canterbury"", ""England"", ""United Kingdom"", ""United Kingdom\u2013Vietnam relations"", ""Vietnam""]",303,1117,"[""Archbishop_of_Canterbury"", ""England"", ""France"", ""China"", ""Vietnam""]",3414,1998,"[""Archbishop_of_Canterbury"", ""Rome"", ""Japan"", ""Asia"", ""Vietnam""]",6963,2097,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",4360,4126,Medium
Batman_Vitamin_D_1,Batman,Vitamin_D,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Medicine"", ""Health"", ""Food"", ""Vitamin_D""]",3117,2135,"[""Batman"", ""Chemistry"", ""Biology"", ""Medicine"", ""Health"", ""Nutrition"", ""Vitamin_D""]",7849,3708,"[""Batman"", ""Chemistry"", ""Medicine"", ""Health"", ""Nutrition"", ""Vitamin_D""]",19011,16469,Medium
China_Moon_1,China,Moon,"[""China"", ""Chinese space program"", ""Chinese lunar exploration"", ""Chang'e\u00a04"", ""Moon""]",298,244,"[""China"", ""United_Nations"", ""International_law"", ""League_of_Nations"", ""United_States"", ""Apollo_11"", ""Moon""]",5392,4511,"[""China"", ""United_States"", ""Apollo_11"", ""Moon""]",6060,1375,"[""China"", ""United_States"", ""Apollo_11"", ""Moon""]",6741,2442,Medium
Achilles_tendon_Ivory_1,Achilles_tendon,Ivory,,0,0,"[""Achilles_tendon"", ""Latin""]",7126,8126,"[""Achilles_tendon"", ""Latin""]",13145,5066,,0,0,Medium
Pyramid_Bean_1,Pyramid,Bean,"[""Pyramid"", ""Pyramid (Python web framework)"", ""Python (programming language)"", ""Programming language"", ""Java (programming language)"", ""JavaBeans"", ""Bean""]",299,1927,"[""Pyramid"", ""Egyptian_pyramids"", ""Ancient_Egypt"", ""Agriculture"", ""Soybean"", ""Plant"", ""Seed"", ""Bean""]",3876,4018,,0,0,"[""Pyramid"", ""Great_Pyramid_of_Giza"", ""Agriculture"", ""Pea"", ""Bean""]",9320,9745,Hard
Aircraft_Google_1,Aircraft,Google,"[""Aircraft"", ""Aerospace"", ""Technology"", ""Internet"", ""Search engine"", ""Google""]",298,867,"[""Aircraft"", ""Russia"", ""United_States"", ""Computer"", ""World_Wide_Web"", ""Google""]",4349,2940,,0,0,"[""Aircraft"", ""United_Kingdom"", ""Computer"", ""World_Wide_Web"", ""Google""]",14426,11686,Hard
Computer_Fruit_1,Computer,Fruit,"[""Computer"", ""Technology"", ""Science"", ""Biology"", ""Botany"", ""Plant"", ""Fruit""]",298,1612,"[""Computer"", ""Internet"", ""Information"", ""DNA"", ""Plant"", ""Flower"", ""Fruit""]",3159,5307,,0,0,,0,0,Hard
Batman_Penguin_1,Batman,Penguin,"[""Batman"", ""Batman villains"", ""Penguin (character)"", ""Penguin""]",299,1633,"[""Batman"", ""Crime"", ""International_law"", ""League_of_Nations"", ""Africa"", ""South_Africa"", ""Atlantic_Ocean"", ""Antarctica"", ""Penguin""]",6002,6628,,0,0,,0,0,Hard
Calculus_Lemon_1,Calculus,Lemon,,0,0,"[""Calculus"", ""Mathematics"", ""Science"", ""Chemistry"", ""Water"", ""Acetic_acid"", ""Food"", ""Vitamin_C"", ""Lemon""]",4915,6467,"[""Calculus"", ""Business"", ""Wall_Street"", ""Star_Trek"", ""Milky_Way"", ""Galaxy"", ""Star"", ""Color"", ""Fruit"", ""Citrus"", ""Lemon""]",14430,6253,,0,0,Hard
George_W._Bush_Monkey_1,George_W._Bush,Monkey,"[""George_W._Bush"", ""Pope_John_Paul_II"", ""Catholic_Church"", ""Religion"", ""Philosophy"", ""Science"", ""Biology"", ""Animal"", ""Mammal"", ""Primates"", ""Monkey""]",301,1862,"[""George_W._Bush"", ""Creationism"", ""Evolution"", ""Chimpanzee"", ""Mammal""]",5095,3777,"[""George_W._Bush"", ""United_States"", ""Guinea""]",15601,6689,,0,0,Hard
Batman_Coconut_crab_1,Batman,Coconut_crab,"[""Batman"", ""DC Comics"", ""Comic book"", ""Book"", ""Library"", ""Science"", ""Biology"", ""Animal"", ""Arthropod"", ""Crustacean"", ""Crab"", ""Coconut crab""]",301,2000,"[""Batman"", ""Chemistry"", ""Biology""]",5785,5828,"[""Batman"", ""Spring_Heeled_Jack""]",15614,5944,"[""Batman"", ""Chemistry"", ""Biology"", ""Animal"", ""Scientific_classification"", ""Arthropod"", ""Coconut_crab""]",35761,35782,Hard
Batman_Peanut_1,Batman,Peanut,,0,0,"[""Batman"", ""Crime"", ""Economics"", ""United_States"", ""Florida"", ""Fruit"", ""Peanut""]",4669,4088,"[""Batman"", ""Superman"", ""Seinfeld"", ""United_States"", ""Potato"", ""Plant"", ""Rice"", ""Seed"", ""Peanut""]",11982,4296,,0,0,Hard
Cat_University_1,Cat,University,"[""Cat"", ""Felis catus"", ""Mammal"", ""Vertebrate"", ""Animal"", ""University""]",298,680,"[""Cat"", ""Animal"", ""Human"", ""Organization"", ""University""]",2418,1938,,0,0,"[""Cat"", ""Evolution"", ""Science"", ""University""]",8840,10250,Hard
God_Apple_1,God,Apple,"[""God"", ""Christianity"", ""Bible"", ""Genesis"", ""Creation"", ""Nature"", ""Plant"", ""Fruit"", ""Apple""]",298,1193,"[""God"", ""United_States"", ""California"", ""Fruit"", ""Apple""]",3634,2034,"[""God"", ""United_States"", ""Computer""]",9914,2847,"[""God"", ""Bible"", ""Latin"", ""English_language"", ""American_English"", ""United_States"", ""California"", ""Fruit"", ""Apple""]",115120,100091,Hard
Canada_Pony_1,Canada,Pony,"[""Canada"", ""Horse"", ""Pony""]",299,371,"[""Canada"", ""English_language"", ""Old_English_language"", ""Viking"", ""Shetland"", ""Scotland"", ""Agriculture"", ""Horse"", ""Pony""]",5560,5345,,0,0,,0,0,Hard
AIDS_Tour_de_France_1,AIDS,Tour_de_France,"[""AIDS"", ""HIV"", ""Human"", ""Human body"", ""Blood"", ""Medicine"", ""Sports medicine"", ""Sports"", ""Cycling"", ""Tour de France""]",302,882,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",2224,1188,"[""AIDS"", ""Belgium"", ""France"", ""Lyon"", ""Paris"", ""Tour_de_France""]",8250,1965,"[""AIDS"", ""Europe"", ""Paris"", ""Tour_de_France""]",9192,4939,Hard
Cereal_Kurt_Cobain_1,Cereal,Kurt_Cobain,"[""Cereal"", ""Breakfast"", ""Morning"", ""1990s"", ""Nirvana (band)"", ""Kurt Cobain""]",303,845,"[""Cereal"", ""United_States"", ""Music_of_the_United_States"", ""Nirvana_(band)"", ""Kurt_Cobain""]",3669,2727,"[""Cereal"", ""United_States"", ""American_popular_music"", ""Nirvana_(band)"", ""Kurt_Cobain""]",7243,1736,"[""Cereal"", ""United_Kingdom"", ""The_Beatles"", ""Kurt_Cobain""]",9061,8229,Hard
