id,start,destination,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens
Aluminium_chloride_Parrot_0,Aluminium_chloride,Parrot,"[""Aluminium_chloride"", ""Aluminium"", ""Aluminium_foil"", ""Cooking"", ""Food"", ""Bird"", ""Parrot""]",303,712,"[""Aluminium_chloride"", ""Electricity""]",5044,4788,,0,0,"[""Aluminium_chloride"", ""Salt"", ""Color"", ""Bird"", ""Parrot""]",11645,6675
Batman_Bible_0,Batman,Bible,"[""Batman"", ""DC Universe"", ""Fictional universe"", ""Mythology"", ""Religion"", ""Bible""]",298,469,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",1480,1052,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",3923,1186,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",5806,2469
England_God_0,England,God,"[""England"", ""United Kingdom"", ""Christianity"", ""God""]",298,215,"[""England"", ""Anglicanism"", ""Jesus"", ""Trinity"", ""Christianity"", ""Bible"", ""God""]",4297,1432,"[""England"", ""Islam"", ""God""]",4167,915,"[""England"", ""Anglicanism"", ""God""]",3805,1365
Art_Mango_0,Art,Mango,"[""Art"", ""Color"", ""Yellow"", ""Mango""]",299,369,,0,0,"[""Art"", ""Sultan""]",11596,2694,,0,0
14th_century_Rainbow_0,14th_century,Rainbow,"[""14th_century"", ""Art"", ""Color"", ""Rainbow""]",301,383,"[""14th_century"", ""Renaissance""]",5880,3021,"[""14th_century"", ""Renaissance""]",8118,3037,,0,0
Electricity_God_0,Electricity,God,"[""Electricity"", ""Energy"", ""Physics"", ""Metaphysics"", ""God""]",299,552,"[""Electricity"", ""Thunderstorm"", ""United_States"", ""Islam"", ""Allah"", ""God""]",4170,1810,"[""Electricity"", ""Mesopotamia"", ""God""]",3316,892,"[""Electricity"", ""Thunderstorm"", ""Earth's_atmosphere"", ""Earth"", ""Deity"", ""God""]",22550,10548
Archbishop_of_Canterbury_Vietnam_0,Archbishop_of_Canterbury,Vietnam,"[""Archbishop_of_Canterbury"", ""United_Kingdom"", ""Foreign_relations_of_the_United_Kingdom"", ""Vietnam""]",303,750,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""China"", ""Vietnam""]",3031,1576,"[""Archbishop_of_Canterbury"", ""Rome"", ""Japan"", ""China"", ""Mekong"", ""Vietnam""]",8699,2043,"[""Archbishop_of_Canterbury"", ""Rome"", ""World_War_II"", ""Vietnam""]",7050,3224
Batman_Vitamin_D_0,Batman,Vitamin_D,"[""Batman"", ""Bruce Wayne"", ""Philanthropy"", ""Health care"", ""Vitamin"", ""Vitamin D""]",299,644,,0,0,,0,0,"[""Batman"", ""Superman"", ""Sun"", ""Vitamin_D""]",4004,2503
China_Moon_0,China,Moon,"[""China"", ""Space program of China"", ""Chinese lunar exploration program"", ""Moon""]",298,384,,0,0,"[""China"", ""Human"", ""Space_exploration"", ""Apollo_11"", ""Moon""]",6965,1713,"[""China"", ""United_States"", ""Moon""]",3701,1085
Achilles_tendon_Ivory_0,Achilles_tendon,Ivory,"[""Achilles_tendon"", ""Collagen"", ""Dentin"", ""Tusk"", ""Elephant"", ""Ivory""]",302,1018,,0,0,"[""Achilles_tendon"", ""Achilles"", ""Ethiopia""]",12441,3207,"[""Achilles_tendon"", ""Achilles"", ""Alexander_the_Great"", ""Ancient_Greece"", ""Jewellery"", ""Ivory""]",22622,11838
Pyramid_Bean_0,Pyramid,Bean,"[""Pyramid"", ""Egypt"", ""Egyptian cuisine"", ""Bean""]",299,500,"[""Pyramid"", ""Mexico"", ""Agriculture"", ""Soybean"", ""Seed"", ""Bean""]",2806,1566,"[""Pyramid"", ""Sun"", ""Photosynthesis""]",15792,4461,"[""Pyramid"", ""Mexico"", ""Agriculture"", ""Pea"", ""Bean""]",9812,5645
Aircraft_Google_0,Aircraft,Google,"[""Aircraft"", ""NASA"", ""Computer"", ""Search engine"", ""Google""]",298,523,,0,0,"[""Aircraft"", ""Russia"", ""Mass_media"", ""World_Wide_Web"", ""Google""]",6559,1966,"[""Aircraft"", ""Helium"", ""United_States"", ""Advertising"", ""Google""]",18533,9926
Computer_Fruit_0,Computer,Fruit,"[""Computer"", ""Apple Inc."", ""Apple (fruit)"", ""Fruit""]",298,515,"[""Computer"", ""Python_(programming_language)"", ""Macintosh"", ""ITunes"", ""Japan"", ""Agriculture"", ""Fruit""]",3386,2613,"[""Computer"", ""Television"", ""Color"", ""Fruit""]",4588,1544,"[""Computer"", ""Computer_and_video_games"", ""Nintendo"", ""Brazil"", ""Agriculture"", ""Fruit""]",11627,5894
Batman_Penguin_0,Batman,Penguin,"[""Batman"", ""List of Batman enemies"", ""Penguin""]",299,424,,0,0,"[""Batman"", ""Crime""]",12683,3654,"[""Batman"", ""Superman"", ""Human"", ""Antarctica"", ""Penguin""]",14181,7928
Calculus_Lemon_0,Calculus,Lemon,"[""Calculus"", ""Mathematics"", ""Science"", ""Biology"", ""Plant"", ""Fruit"", ""Lemon""]",300,635,"[""Calculus"", ""Economics"", ""Biodiversity"", ""Agriculture"", ""Fruit"", ""Citrus"", ""Lemon""]",3208,1845,"[""Calculus"", ""Science"", ""Chemistry"", ""Gold"", ""Silver"", ""Color"", ""Fruit"", ""Citrus"", ""Lemon""]",12867,3531,"[""Calculus"", ""Biology"", ""Plant"", ""Fruit"", ""Citrus"", ""Lemon""]",10949,5686
George_W._Bush_Monkey_0,George_W._Bush,Monkey,"[""George_W._Bush"", ""Bush_(surname)"", ""Vannevar_Bush"", ""Science"", ""Biology"", ""Primates"", ""Monkey""]",301,1900,"[""George_W._Bush"", ""Religion"", ""Evolution""]",4977,3107,"[""George_W._Bush"", ""Religion""]",11687,2473,"[""George_W._Bush"", ""AIDS"", ""Africa"", ""Rainforest"", ""Monkey""]",12476,6209
Batman_Coconut_crab_0,Batman,Coconut_crab,"[""Batman"", ""Bat"", ""Fruit bat"", ""Coconut"", ""Coconut_crab""]",301,1057,"[""Batman"", ""Scotland"", ""Atlantic_Ocean"", ""Indian_Ocean""]",6409,3782,"[""Batman"", ""Spring_Heeled_Jack"", ""Nature"", ""Animal"", ""Scientific_classification"", ""Arthropod"", ""Coconut_crab""]",8089,2849,,0,0
Batman_Peanut_0,Batman,Peanut,"[""Batman"", ""Batman (TV series)"", ""1966"", ""1966 in comics"", ""Peanuts"", ""Peanut""]",299,2108,"[""Batman"", ""Chemistry"", ""Biology""]",4970,2616,"[""Batman"", ""Superman"", ""Human"", ""Animal"", ""Plant"", ""Soybean"", ""Peanut""]",9271,2838,"[""Batman"", ""Chemistry"", ""Organism"", ""Food"", ""Peanut""]",16939,9192
Cat_University_0,Cat,University,"[""Cat"", ""Animal behavior"", ""Learning"", ""Education"", ""University""]",298,490,"[""Cat"", ""Scientific_classification"", ""Charles_Darwin"", ""University_of_Cambridge""]",3472,1692,,0,0,"[""Cat"", ""Evolution"", ""Science"", ""University""]",6810,4437
God_Apple_0,God,Apple,"[""God"", ""Christianity"", ""Garden of Eden"", ""Forbidden fruit"", ""Apple""]",298,559,"[""God"", ""Nature"", ""Plant"", ""Agriculture"", ""Fruit"", ""Apple""]",3025,1517,"[""God"", ""United_States"", ""California"", ""Fruit"", ""Apple""]",7858,1205,"[""God"", ""United_States"", ""California"", ""Fruit"", ""Apple""]",10783,6920
Canada_Pony_0,Canada,Pony,"[""Canada"", ""Horse"", ""Pony""]",299,409,"[""Canada"", ""North_America"", ""United_States""]",8682,4066,"[""Canada"", ""Beaver"", ""Chordate"", ""Animal"", ""Vertebrate"", ""Human"", ""Mammal"", ""Horse"", ""Pony""]",12299,3346,"[""Canada"", ""Viking"", ""Shetland"", ""Agriculture"", ""Horse"", ""Pony""]",16998,9553
AIDS_Tour_de_France_0,AIDS,Tour_de_France,"[""AIDS"", ""Human immunodeficiency virus"", ""Blood"", ""Blood doping"", ""Doping in sport"", ""Tour de France""]",302,714,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",2224,1283,"[""AIDS"", ""Belgium"", ""France"", ""Paris"", ""Tour_de_France""]",7172,1863,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",5599,2129
Cereal_Kurt_Cobain_0,Cereal,Kurt_Cobain,"[""Cereal"", ""Popular culture"", ""Music"", ""Grunge"", ""Nirvana (band)"", ""Kurt Cobain""]",303,491,"[""Cereal"", ""United_Kingdom"", ""The_Rolling_Stones"", ""Guitar""]",4231,2838,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",7651,1732,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",18512,8937
Christianity_Natalie_Portman_0,Christianity,Natalie_Portman,"[""Christianity"", ""Western culture"", ""Hollywood"", ""Actress"", ""Natalie Portman""]",302,397,"[""Christianity"", ""Judaism"", ""Israel"", ""Jew"", ""Zionism"", ""Jerusalem"", ""Natalie_Portman""]",4519,1906,"[""Christianity"", ""Jew"", ""Israel"", ""Jerusalem"", ""Natalie_Portman""]",7476,1820,"[""Christianity"", ""Hebrew_language"", ""Judaism"", ""Jerusalem"", ""Natalie_Portman""]",12250,5424
Colombia_Menthol_0,Colombia,Menthol,"[""Colombia"", ""Flora of Colombia"", ""Lamiaceae"", ""Mentha"", ""Menthol""]",300,728,,0,0,,0,0,"[""Colombia"", ""United_States""]",90405,67587
Napoleonic_Wars_Superman_0,Napoleonic_Wars,Superman,"[""Napoleonic_Wars"", ""Napoleon"", ""Napoleon_in_popular_culture"", ""Popular_culture"", ""Superhero"", ""Superman""]",303,849,"[""Napoleonic_Wars"", ""United_States""]",6943,4241,"[""Napoleonic_Wars"", ""United_States"", ""Film"", ""Actor"", ""The_Simpsons"", ""Popular_culture"", ""Comics"", ""Superman""]",12020,3045,"[""Napoleonic_Wars"", ""Industrial_Revolution"", ""Culture"", ""Popular_culture"", ""Comics"", ""Superman""]",19390,10771
Batman_Wikisource_0,Batman,Wikisource,"[""Batman"", ""Wikisource""]",300,644,"[""Batman"", ""Superman""]",4157,2663,,0,0,"[""Batman"", ""Crime"", ""Federal_Bureau_of_Investigation"", ""Library"", ""Library_of_Congress"", ""Literature"", ""Publishing"", ""Wikipedia"", ""Wikimedia_Foundation"", ""Wikisource""]",151447,88708
Christianity_Coconut_crab_0,Christianity,Coconut_crab,"[""Christianity"", ""Creationism"", ""Evolution"", ""Biology"", ""Zoology"", ""Crustacean"", ""Decapod"", ""Coconut_crab""]",302,655,,0,0,"[""Christianity"", ""Oceania""]",14577,4753,,0,0
David_Beckham_Frog_0,David_Beckham,Frog,"[""David Beckham"", ""England national football team"", ""England"", ""Wildlife of England"", ""Amphibian"", ""Frog""]",303,759,"[""David_Beckham"", ""France""]",5094,3440,,0,0,"[""David_Beckham"", ""Australia"", ""Biodiversity"", ""Evolution"", ""Vertebrate"", ""Animal"", ""Australian_Green_Tree_Frog"", ""Frog""]",29603,18490
Geometry_Volleyball_0,Geometry,Volleyball,"[""Geometry"", ""Ancient Greece"", ""Olympic Games"", ""Volleyball""]",299,984,"[""Geometry"", ""Physics"", ""Force"", ""Mechanical_work"", ""Energy"", ""Motion_(physics)"", ""19th_century"", ""20th_century"", ""Sport"", ""Olympic_Games"", ""Volleyball""]",6747,3788,,0,0,"[""Geometry"", ""Physics"", ""Momentum"", ""Albert_Einstein"", ""Brazil"", ""Volleyball""]",22248,10558
Brain_Telephone_1,Brain,Telephone,"[""Brain"", ""Nervous system"", ""Neuron"", ""Action potential"", ""Electricity"", ""Telegraph"", ""Telephone""]",298,1258,"[""Brain"", ""Action_potential"", ""Electrical_resistance"", ""Semiconductor"", ""Integrated_circuit"", ""Communication"", ""Telephone""]",2807,1960,"[""Brain"", ""Action_potential"", ""Cell_(biology)"", ""Energy"", ""Communication"", ""Telephone""]",7192,2425,"[""Brain"", ""Cell_(biology)"", ""Energy"", ""Communication"", ""Telephone""]",11585,6604
Theatre_Zebra_1,Theatre,Zebra,"[""Theatre"", ""Circus"", ""Animal"", ""Zebra""]",300,660,,0,0,,0,0,"[""Theatre"", ""Brazil"", ""Angola"", ""Namibia"", ""Southern_Africa"", ""Blue_Wildebeest"", ""Mammal"", ""Zebra""]",64530,28568
Asteroid_Viking_1,Asteroid,Viking,"[""Asteroid"", ""Space"", ""NASA"", ""Viking program"", ""Viking""]",300,1037,"[""Asteroid"", ""Mars"", ""Mars_Reconnaissance_Orbiter"", ""Mars_Exploration_Rover"", ""Geology"", ""Plate_tectonics"", ""Iceland"", ""Viking""]",3696,2508,"[""Asteroid"", ""Mars"", ""Mars_Exploration_Rover"", ""Soil"", ""Clay"", ""Sweden"", ""Denmark"", ""Iceland"", ""Viking""]",12799,3594,"[""Asteroid"", ""Earth"", ""Norse_mythology"", ""Norway"", ""Viking""]",11850,6583
Batman_Wood_1,Batman,Wood,"[""Batman"", ""DC Comics"", ""Comic book"", ""Paper"", ""Wood""]",298,603,"[""Batman"", ""Scotland"", ""Agriculture"", ""Botany"", ""Wood""]",2504,1570,"[""Batman"", ""Scotland"", ""Coal"", ""Carbon"", ""Plant"", ""Tree"", ""Wood""]",9510,1893,"[""Batman"", ""Scotland"", ""Agriculture"", ""Botany"", ""Wood""]",8982,5046
Beer_Sun_1,Beer,Sun,"[""Beer"", ""Hops"", ""Plant"", ""Photosynthesis"", ""Sun""]",298,613,"[""Beer"", ""Carbon_dioxide"", ""Photosynthesis"", ""Ultraviolet"", ""Sun""]",2186,1029,"[""Beer"", ""Carbon_dioxide"", ""Plant"", ""Sundew"", ""Bog"", ""Moss"", ""Flower"", ""Sunflower"", ""Gold"", ""Sun""]",14001,4021,"[""Beer"", ""Carbon_dioxide"", ""Photosynthesis"", ""Ultraviolet"", ""Sun""]",10308,5597
Batman_Banana_1,Batman,Banana,"[""Batman"", ""Bat"", ""Fruit bat"", ""Banana""]",299,691,"[""Batman"", ""Crime"", ""Law"", ""International_law"", ""World_Trade_Organization"", ""Business"", ""Agriculture"", ""Fruit"", ""Banana""]",4520,2560,"[""Batman"", ""Superman"", ""Sun"", ""Photosynthesis"", ""Plant"", ""Arecaceae"", ""Coconut"", ""Fruit"", ""Banana""]",12159,3386,,0,0
Cat_Computer_1,Cat,Computer,"[""Cat"", ""Internet"", ""Computer""]",298,375,"[""Cat"", ""Sound"", ""Music"", ""Mathematics"", ""Computer_science"", ""Computer_programming"", ""Unix"", ""Microsoft_Windows"", ""Microsoft"", ""Computer""]",4198,2769,"[""Cat"", ""Color"", ""Light"", ""Brain"", ""Algorithm"", ""Computer""]",7966,1808,"[""Cat"", ""Evolution"", ""Computer""]",3334,1414
Cat_Microsoft_1,Cat,Microsoft,"[""Cat"", ""Mouse"", ""Computer mouse"", ""Microsoft""]",298,363,"[""Cat"", ""Genealogy"", ""Internet"", ""Microsoft""]",1482,1479,"[""Cat"", ""Sound"", ""Wave"", ""Ultraviolet"", ""Integrated_circuit"", ""Computer"", ""C++"", ""Library"", ""Internet"", ""Microsoft""]",11964,3449,"[""Cat"", ""Evolution"", ""Computer"", ""Microsoft_Windows"", ""Microsoft""]",16651,7820
Dog_Telephone_1,Dog,Telephone,"[""Dog"", ""Vocalization"", ""Sound"", ""Acoustics"", ""Telecommunication"", ""Telephone""]",298,642,"[""Dog"", ""Postage_stamp"", ""United_States"", ""Electronics"", ""Radio"", ""Bluetooth"", ""Radio_frequency"", ""Alternating_current"", ""Nikola_Tesla"", ""Telephone""]",5851,2585,"[""Dog"", ""English_language"", ""Internet"", ""Optical_fiber"", ""Light"", ""Radio"", ""Television"", ""Telecommunication"", ""Telephone""]",12525,3313,"[""Dog"", ""Postage_stamp"", ""Japan"", ""Electronics"", ""Telephone""]",11504,5035
Dog_Venus_1,Dog,Venus,"[""Dog"", ""Domestication"", ""Human"", ""Culture"", ""Mythology"", ""Roman mythology"", ""Venus""]",299,807,,0,0,"[""Dog"", ""Arctic"", ""Earth"", ""Solar_System"", ""Venus""]",6876,1706,,0,0
Aluminium_chloride_Parrot_1,Aluminium_chloride,Parrot,"[""Aluminium_chloride"", ""Aluminium"", ""Aircraft"", ""Unmanned aerial vehicle"", ""Parrot (company)"", ""Parrot""]",303,1858,"[""Aluminium_chloride"", ""Recycling"", ""India"", ""Biodiversity"", ""Bird"", ""Parrot""]",2894,1850,"[""Aluminium_chloride"", ""Aluminium"", ""Australia"", ""Emu"", ""Feather"", ""Bird"", ""Parrot""]",9257,2223,"[""Aluminium_chloride"", ""Aluminium"", ""New_Zealand"", ""Parrot""]",8585,5163
Batman_Bible_1,Batman,Bible,"[""Batman"", ""DC Comics"", ""Comic book"", ""Popular culture"", ""Religion in popular culture"", ""Bible""]",298,949,"[""Batman"", ""Earthquake"", ""United_Kingdom"", ""Anglican_Communion"", ""Christianity"", ""Bible""]",3401,1647,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",3923,910,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",7465,3254
England_God_1,England,God,"[""England"", ""United Kingdom"", ""Christianity"", ""God""]",298,315,,0,0,"[""England"", ""Christianity"", ""Jesus"", ""God""]",5781,983,"[""England"", ""Christianity"", ""Jesus"", ""God""]",5039,1800
Art_Mango_1,Art,Mango,"[""Art"", ""Culinary art"", ""Food"", ""Fruit"", ""Mango""]",299,610,"[""Art"", ""Color"", ""Fruit"", ""Mango""]",1656,1021,"[""Art"", ""Sultan"", ""Sumatra"", ""Indonesia"", ""Coffee"", ""Citrus"", ""Fruit"", ""Mango""]",11109,2066,"[""Art"", ""China"", ""Vietnam"", ""India"", ""Mango""]",13873,6161
14th_century_Rainbow_1,14th_century,Rainbow,"[""14th_century"", ""Middle_Ages"", ""Art"", ""Color"", ""Rainbow""]",301,340,"[""14th_century"", ""Renaissance"", ""Science"", ""Physics"", ""Light"", ""Rainbow""]",3303,1453,"[""14th_century"", ""Renaissance"", ""Raphael"", ""Painting"", ""Color"", ""Light"", ""Rainbow""]",9811,2569,"[""14th_century"", ""Renaissance"", ""Science"", ""Physics"", ""Electromagnetic_radiation"", ""Light"", ""Rainbow""]",31479,18313
Electricity_God_1,Electricity,God,"[""Electricity"", ""Energy"", ""Physics"", ""Science"", ""Philosophy"", ""Philosophy of religion"", ""God""]",299,591,"[""Electricity"", ""Ancient_Greece"", ""Athena"", ""Greek_mythology"", ""Deity"", ""God""]",2849,1383,,0,0,"[""Electricity"", ""Nikola_Tesla"", ""Albert_Einstein"", ""Immanuel_Kant"", ""God""]",13795,6935
Archbishop_of_Canterbury_Vietnam_1,Archbishop_of_Canterbury,Vietnam,"[""Archbishop of Canterbury"", ""England"", ""British Empire"", ""French Indochina"", ""Vietnam""]",303,479,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",2221,1508,,0,0,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",4733,2229
Batman_Vitamin_D_1,Batman,Vitamin_D,"[""Batman"", ""DC Comics"", ""Fictional universe"", ""Universe"", ""Sun"", ""Sunlight"", ""Vitamin D""]",299,1404,"[""Batman"", ""Chemistry""]",5368,3354,"[""Batman"", ""Superman"", ""Sun"", ""Ultraviolet"", ""Sunlight"", ""Vitamin_D""]",7149,2245,"[""Batman"", ""Superman"", ""Sun"", ""Ultraviolet"", ""Sunlight"", ""Vitamin_D""]",18277,11220
China_Moon_1,China,Moon,"[""China"", ""China National Space Administration"", ""Chang'e program"", ""Moon""]",298,338,"[""China"", ""Human"", ""Space_exploration"", ""Moon""]",2324,1316,"[""China"", ""Sea"", ""Moon""]",3457,1024,"[""China"", ""Human"", ""Space_exploration"", ""Moon""]",4126,2226
Achilles_tendon_Ivory_1,Achilles_tendon,Ivory,"[""Achilles tendon"", ""Muscle"", ""Musculoskeletal system"", ""Vertebrate"", ""Mammal"", ""Elephant"", ""Ivory""]",302,654,"[""Achilles_tendon"", ""Achilles"", ""Ethiopia"", ""African_Union"", ""C\u00f4te_d'Ivoire""]",4486,2739,"[""Achilles_tendon"", ""Achilles"", ""Zeus"", ""Sculpture"", ""Jewellery"", ""Ivory""]",6977,2073,,0,0
Pyramid_Bean_1,Pyramid,Bean,"[""Pyramid"", ""Food pyramid"", ""Legume"", ""Bean""]",299,271,"[""Pyramid"", ""Mexico"", ""Agriculture"", ""Pea"", ""Bean""]",2220,1018,,0,0,"[""Pyramid"", ""Great_Pyramid_of_Giza"", ""Agriculture"", ""Pea"", ""Bean""]",9577,5086
Aircraft_Google_1,Aircraft,Google,"[""Aircraft"", ""Aviation"", ""Technology"", ""Search engine"", ""Google""]",298,562,,0,0,"[""Aircraft"", ""Vietnam_War"", ""United_States"", ""Computer"", ""World_Wide_Web"", ""Google""]",9252,2211,"[""Aircraft"", ""Hot_air_balloon"", ""United_Kingdom"", ""Computer"", ""World_Wide_Web"", ""Google""]",19533,9567
Computer_Fruit_1,Computer,Fruit,"[""Computer"", ""Apple Inc."", ""Apple (fruit)"", ""Fruit""]",298,553,"[""Computer"", ""History_of_computing_hardware"", ""Germany"", ""Europe"", ""Mediterranean_Sea"", ""Italy"", ""Agriculture"", ""Fruit""]",5472,2712,,0,0,"[""Computer"", ""Computer_and_video_games"", ""Japan"", ""Agriculture"", ""Fruit""]",10030,6756
Batman_Penguin_1,Batman,Penguin,"[""Batman"", ""Penguin (character)"", ""Penguin""]",299,567,"[""Batman"", ""Crime"", ""Police"", ""London"", ""British_Empire"", ""South_Africa"", ""Biodiversity"", ""Bird"", ""Penguin""]",5536,3786,,0,0,"[""Batman"", ""Spring_Heeled_Jack"", ""Nature"", ""Animal"", ""Bird"", ""Penguin""]",24240,13406
Calculus_Lemon_1,Calculus,Lemon,"[""Calculus"", ""Mathematics"", ""Science"", ""Food science"", ""Citrus"", ""Lemon""]",300,638,"[""Calculus"", ""Biology"", ""Plant"", ""Fruit"", ""Citrus"", ""Lemon""]",2788,1381,"[""Calculus"", ""Business"", ""Agriculture"", ""Fruit"", ""Citrus"", ""Lemon""]",7754,2183,"[""Calculus"", ""Biology"", ""Plant"", ""Tree"", ""Citrus"", ""Lemon""]",17020,8519
George_W._Bush_Monkey_1,George_W._Bush,Monkey,"[""George W. Bush"", ""United States"", ""Mammals of the United States"", ""Primates"", ""Monkey""]",301,1084,"[""George_W._Bush"", ""International_Space_Station"", ""Space_Shuttle_program""]",5904,3576,"[""George_W._Bush"", ""Creationism"", ""Evolution"", ""Ape"", ""Monkey""]",6843,1491,"[""George_W._Bush"", ""Creationism"", ""Charles_Darwin"", ""Ape"", ""Monkey""]",10893,6189
Batman_Coconut_crab_1,Batman,Coconut_crab,"[""Batman"", ""Bat"", ""Mammal"", ""Animal"", ""Invertebrate"", ""Crustacean"", ""Crab"", ""Coconut_crab""]",301,606,,0,0,"[""Batman"", ""Spring_Heeled_Jack"", ""Nature"", ""Animal"", ""Scientific_classification"", ""Organism"", ""Arthropod"", ""Coconut_crab""]",9723,3654,"[""Batman"", ""Chemistry"", ""Organism"", ""Arthropod"", ""Coconut_crab""]",13795,7895
Batman_Peanut_1,Batman,Peanut,"[""Batman"", ""Comic book"", ""Comic strip"", ""Peanuts"", ""Peanut""]",299,1178,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Seed"", ""Peanut""]",2743,1498,"[""Batman"", ""Superman"", ""Jew"", ""Turkey"", ""Agriculture"", ""Pea"", ""Bean"", ""Peanut""]",10383,2690,,0,0
